word,sentence
shape,You're in better shape than I am.
shape,"If the world weren't in the shape it is now, I could trust anyone."
shape,Pull into shape after washing.
shape,Your watch is similar to mine in shape and color.
shape,Our plans are taking shape.
normal,"Stop seeing me as a ""normal"" person!"
normal,It will not be long before business returns to normal.
normal,"Freddy's been working the graveyard shift the past month, so he hasn't been able to see any of his friends who work normal hours."
normal,The baby showed a normal development.
normal,The baby's growth is normal for his age.
whether,It is up to you to decide whether we will go there or not.
whether,"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime."
whether,The real problem is not whether machines think but whether men do.
whether,"Every man's work, whether it be literature or music or a picture or architecture or anything else, is always a portrait of himself."
whether,It doesn't matter whether your answer is right or wrong.
naturally,With so many people around he naturally became a bit nervous.
naturally,You had better speak more naturally.
naturally,We naturally got excited.
naturally,It is not easy to speak naturally on the radio.
naturally,She naturally accepted the invitation.
abandon,There are days where I feel like my brain wants to abandon me.
abandon,We made a pact that we wouldn't abandon one another.
abandon,We had to abandon our plan.
abandon,The girl had to abandon the idea of becoming a singer.
abandon,I was forced to abandon the plan.
defense,The defense lawyer was confident that he would be able to answer the prosecutor's arguments in his rebuttal.
defense,Karate is an art of unarmed defense.
defense,Our combined fleet broke through the enemy's defense zone.
defense,The outlook for the defense program is dismal.
defense,In American football the defense has a specific job.
vicious,The answer leads us to a vicious circle.
vicious,The rubber band broke with a vicious snap.
vicious,Any virtuous idea can be vicious in itself.
vicious,It is difficult to break the vicious circle of wages and prices.
vicious,He gave the barking dog a vicious kick.
rate,"At this rate, we're not likely to be done before the end of the week."
rate,We can travel through time. And we do at the remarkable rate of one second per second.
rate,The income tax rate increases in proportion as your salary rises.
rate,We have to call on him tomorrow at any rate.
rate,We are getting on first-rate.
advice,I need your advice.
advice,You should have acted on her advice.
advice,You must pay attention to his advice.
advice,You should have accepted his advice.
advice,You may as well follow his advice.
plastic,I knew it was plastic but it tasted like wood.
plastic,"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter."
plastic,Even plastic surgery won't do anything for your ugliness.
plastic,"For safety purposes, remove the plastic casing before use."
plastic,A plastic glass is better than one made of real glass.
secure,You are secure from danger here.
secure,Our victory is secure.
secure,We seemed secure of victory.
secure,The little boy felt secure in his father's arms.
secure,That child felt secure in his mother's arms.
extraordinary,Your behavior is too extraordinary.
extraordinary,It was an event that proved extraordinary.
extraordinary,The clumsy man envied her extraordinary talent.
extraordinary,The pianist is endowed with extraordinary talent.
extraordinary,This extraordinary increase is explained by the speedy economic unification which took place during the same period.
forbid,I forbid you to smoke.
forbid,I forbid smoking in my room.
forbid,"I cannot forbid a person to marry several wives, for it does not contradict Scripture."
forbid,I forbid you to leave.
forbid,His ex-wife obtained a court order that forbid him from coming closer than 200 yards.
bright,You have a bright future.
bright,The sky is clear and the sun is bright.
bright,The sky was bright and clear.
bright,The cow is anything but bright.
bright,Cows are anything but bright.
ache,It is obvious why you have a stomach-ache.
ache,My joints ache when it gets cold.
ache,I ache for a sight of the sea.
ache,I ache all over after the exercises.
ache,I want to see a doctor about my stomach-ache.
sauce,Hunger is the best sauce.
sauce,What's sauce for the goose is sauce for the gander.
sauce,A good appetite is a good sauce.
sauce,I'd like the sauce on the side.
sauce,"I'd like to have the sauce on the side, please."
root,Money is the root of all evil.
root,These words are derived from the same root.
root,Two is the fourth root of sixteen.
root,"Distrust of people, not to mention hate, is the root of human suffering."
root,Many western customs have taken root in Japan.
thin,The gold was beaten into thin plates.
thin,"Making nothing of the cold, he went out in thin clothes."
thin,One book is thin. The other is thick. The thick one has about 200 pages.
thin,Faults are thick where love is thin.
thin,Aren't you stretched pretty thin already?
edge,I've been on edge recently.
edge,I hit my funny bone on the edge of the table.
edge,We have the edge on them.
edge,My pencil fell off the edge of my desk.
edge,"The movie got more and more exciting, until at length, people were sitting on the edge of their chairs."
authority,Teachers shouldn't fall back on their authority.
authority,The students revolted against authority.
authority,By what authority do you order me to do this?
authority,Only after a century and a half of confusion was the royal authority restored.
authority,Ritsuko is something of an authority on the subject.
frequent,The teacher was worried by Tom's frequent absence from class.
frequent,We had frequent snowfalls last year.
frequent,There are good grounds for the view that Paris was the scene of frequent riots even before the revolution of 1789.
frequent,Typhoons are frequent there in fall.
frequent,Typhoons are frequent in this region.
kindly,Will you kindly come here at nine?
kindly,Our teacher is at once stern and kindly.
kindly,I wonder if you would kindly introduce us to someone.
kindly,Kindly refrain from smoking.
kindly,Will you kindly let me have a look at it?
depth,To weep is to make less the depth of grief.
depth,I'm afraid my depth perception is very poor.
depth,We measured the depth of the river.
depth,"The sperm whale can dive to a depth of 1,000 meters."
depth,It shows the depth of his love for his family.
highway,The holiday traffic crawled along the highway.
highway,The construction of a highway will contribute to the growth of the suburbs.
highway,Houses were lined up alongside the highway.
highway,The accident took place on the highway.
highway,"Whichever highway you decide on, it will be crowded with cars and trucks."
trivial,Mr Yoshimoto taught us many trivial matters.
trivial,Such a trivial thing is out of the question.
trivial,Don't worry about such a trivial problem.
trivial,That is a trivial problem.
trivial,The agitator is inclined to exaggerate trivial matters.
proceed,Let's proceed with the items on the agenda.
proceed,I would like to know how you will proceed in this matter.
proceed,It may be advantageous to me to proceed in this way.
